benchmark,timestamp,total_ops,traffic,core_count
CV_C168_1x224x224x3_11x11x96x3_4_2_1,53199,210830400,951744,168
CV_C168_1x27x27x96_5x5x256x96_1_2_1,36605,895795200,1742528,168
CV_C168_1x13x13x256_3x3x384x256_1_1_1,27147,299040768,1986560,168
CV_C168_1x13x13x256_3x3x256x256_1_1_1,26590,199360512,1353216,168
CV_C168_1x224x224x3_7x7x64x3_2_3_1,36456,236027904,1925632,168
CV_C168_1x56x56x64_3x3x64x64_1_1_1,8479,231211008,876672,168
CV_C168_1x56x56x64_3x3x128x64_1_1_1,12008,462422016,1351936,168
CV_C168_1x28x28x128_3x3x128x128_1_1_1,21071,231211008,696576,168
CV_C168_1x28x28x128_3x3x256x128_1_1_1,21424,462422016,1192448,168
CV_C168_1x14x14x256_3x3x256x256_1_1_1,26780,231211008,1380864,168
CV_C168_1x14x14x256_3x3x512x256_1_1_1,35907,462422016,2661376,168
CV_C168_1x7x7x512_3x3x512x512_1_1_1,52085,231211008,4819968,168
